# Words 201-300

| # | English | Lao | Lao Pronunciation | Japanese | Japanese Pronunciation | Vietnamese | Vietnamese Pronunciation | English Meaning | Chinese Meaning |
| 269 | alongside | ຂ້າງຄຽງ | khang khiang | 並んで | naran de | bên cạnh | bên cạnh | close to the side of, next to | 在...旁边，与...一起 |
| 270 | aloud | ດັງໆ | dang dang | 声に出して | koe ni dashite | thành tiếng | thành tiếng | audibly, not silently or in a whisper | 大声地，出声地 |
| 271 | alphabet | ຕົວອັກສອນ | tua ak son | アルファベット | arufabetto | bảng chữ cái | bảng chữ cái | a set of letters or symbols in a fixed order used to represent the basic set of speech sounds | 字母表 |
| 272 | alphabetic | ຕາມຕົວອັກສອນ | tam tua ak son | アルファベット順の | arufabetto jun no | theo bảng chữ cái | theo bảng chữ cái | relating to or expressed by an alphabet | 按字母顺序的 |
| 273 | alphabetical | ຕາມຕົວອັກສອນ | tam tua ak son | アルファベット順の | arufabetto jun no | theo bảng chữ cái | theo bảng chữ cái | arranged in the order of the letters of the alphabet | 按字母顺序的 |
| 274 | already | ແລ້ວ | laeo | すでに | sude ni | đã | đã | before or by now or the time in question | 已经，早已 |
| 275 | also | ຍັງ | nyang | また | mata | cũng | cũng | in addition, too | 也，同样 |
| 276 | alter | ປ່ຽນ | pian | 変更する | henkō suru | thay đổi | thay đổi | to change or cause to change in character or composition | 改变，修改 |
| 277 | alteration | ການປ່ຽນ | kan pian | 変更 | henkō | sự thay đổi | sự thay đổi | the action or process of altering or being altered | 改变，修改 |
| 278 | alternate | ສະຫຼັບ | sa lap | 交互の | kōgo no | luân phiên | luân phiên | occur in turn repeatedly, every other | 交替的，轮流的 |
| 279 | alternation | ການສະຫຼັບ | kan sa lap | 交互 | kōgo | sự luân phiên | sự luân phiên | the repeated occurrence of two things in turn | 交替，轮流 |
| 280 | alternately | ສະຫຼັບກັນ | sa lap kan | 交互に | kōgo ni | luân phiên | luân phiên | with two things continually following and succeeded by each other | 交替地，轮流地 |
| 281 | alternative | ທາງເລືອກ | thang leuak | 代替 | daitai | thay thế | thay thế | one of two or more available possibilities | 替代的，选择 |
| 282 | although | ເຖິງແມ່ນວ່າ | theong mae na va | にもかかわらず | ni mo kakawarazu | mặc dù | mặc dù | in spite of the fact that, even though | 虽然，尽管 |
| 283 | altitude | ຄວາມສູງ | khwam sung | 高度 | kōdo | độ cao | độ cao | the height of an object or point in relation to sea level or ground level | 海拔，高度 |
| 284 | altogether | ທັງໝົດ | thang mot | 完全に | kanzen ni | hoàn toàn | hoàn toàn | completely, totally, in total | 完全地，总共 |
| 285 | aluminum | ອາລູມິນຽມ | a lu min yam | アルミニウム | aruminiumu | nhôm | nhôm | a silvery-white, lightweight metallic element | 铝（美式拼写） |
| 286 | aluminium | ອາລູມິນຽມ | a lu min yam | アルミニウム | aruminiumu | nhôm | nhôm | a silvery-white, lightweight metallic element | 铝（英式拼写） |
| 287 | always | ສະເໝີ | sa meu | いつも | itsumo | luôn luôn | luôn luôn | at all times, on all occasions | 总是，一直 |
| 288 | am | ເປັນ | pen | である | dearu | là | là | first person singular present of be | 是（be的第一人称单数现在式） |
| 289 | amass | ສະສົມ | sa som | 蓄積する | chikuseki suru | tích lũy | tích lũy | to gather together or accumulate a large amount of something | 积累，聚集 |
| 290 | amateur | ນັກສະແດງສະໝຸນໄພ | nak sa daeng sa mun phai | アマチュア | amachua | nghiệp dư | nghiệp dư | a person who engages in a pursuit, especially a sport, on an unpaid basis | 业余的，业余爱好者 |
| 291 | amaze | ປະຫຼາດໃຈ | pa lat chai | 驚かせる | odorokaseru | làm ngạc nhiên | làm ngạc nhiên | to surprise someone greatly, astonish | 使惊奇，使惊愕 |
| 292 | amazing | ປະຫຼາດໃຈ | pa lat chai | 驚くべき | odorokubeki | tuyệt vời | tuyệt vời | causing great surprise or wonder, astonishing | 令人惊奇的，了不起的 |
| 293 | amazement | ຄວາມປະຫຼາດໃຈ | khwam pa lat chai | 驚き | odoroki | sự ngạc nhiên | sự ngạc nhiên | a feeling of great surprise or wonder | 惊奇，惊愕 |
| 294 | ambassador | ທູດ | thut | 大使 | taishi | đại sứ | đại sứ | an accredited diplomat sent by a state as its permanent representative in a foreign country | 大使 |
| 295 | ambiguous | ບໍ່ຊັດເຈນ | bo sat chen | 曖昧な | aimai na | mơ hồ | mơ hồ | having more than one possible meaning, unclear | 模糊的，有歧义的 |
| 296 | ambiguity | ຄວາມບໍ່ຊັດເຈນ | khwam bo sat chen | 曖昧さ | aimaisa | sự mơ hồ | sự mơ hồ | the quality of being open to more than one interpretation | 模糊，歧义 |
| 297 | ambition | ຄວາມທະເຍີທະຍານ | khwam tha nyoeu tha nyan | 野心 | yashin | tham vọng | tham vọng | a strong desire to do or achieve something | 雄心，野心 |
| 298 | ambitious | ມີຄວາມທະເຍີທະຍານ | mi khwam tha nyoeu tha nyan | 野心的な | yashinteki na | tham vọng | tham vọng | having or showing a strong desire and determination to succeed | 有雄心的，有野心的 |
| 299 | ambulance | ລົດສຸກເສີນ | lot suk sen | 救急車 | kyūkyūsha | xe cứu thương | xe cứu thương | a vehicle equipped for taking sick or injured people to and from hospital | 救护车 |
| 300 | amend | ແກ້ແກ້ງ | kae kaeng | 修正する | shūsei suru | sửa đổi | sửa đổi | to make minor changes to a text, piece of legislation, etc. in order to make it fairer or more accurate | 修正，修改 |
