# Words 301-400

| # | English | Lao | Lao Pronunciation | Japanese | Japanese Pronunciation | Vietnamese | Vietnamese Pronunciation | English Meaning | Chinese Meaning |
| 364 | antique | ເກົ່າ | kao | 骨董品 | kottōhin | đồ cổ | đồ cổ | a collectible object such as a piece of furniture or work of art that has a high value because of its age and quality | 古董，古物 |
| 365 | antonym | ຄຳກົງກັນຂ້າມ | kham kong kan kham | 対義語 | taigo | từ trái nghĩa | từ trái nghĩa | a word opposite in meaning to another | 反义词 |
| 366 | anxious | ກັງວົນ | kang von | 心配な | shinpai na | lo lắng | lo lắng | experiencing worry, unease, or nervousness | 焦虑的，担心的 |
| 367 | anxiety | ຄວາມກັງວົນ | khwam kang von | 不安 | fuan | sự lo lắng | sự lo lắng | a feeling of worry, nervousness, or unease about something with an uncertain outcome | 焦虑，担心 |
| 368 | any | ໃດໆ | dai dai | 任意の | nin'i no | bất kỳ | bất kỳ | used to refer to one or some of a thing or number of things, no matter how much or many | 任何，任一 |
| 369 | anybody | ໃຜໆ | phai phai | 誰でも | dare demo | bất kỳ ai | bất kỳ ai | any person, anyone | 任何人 |
| 370 | anyone | ໃຜໆ | phai phai | 誰でも | dare demo | bất kỳ ai | bất kỳ ai | any person or people | 任何人 |
| 371 | anyhow | ຢ່າງໃດກໍ່ຕາມ | yang dai ko tam | とにかく | tonikaku | dù sao | dù sao | used to indicate that a statement explains or supports a previous statement | 无论如何，不管怎样 |
| 372 | anything | ສິ່ງໃດໆ | sing dai dai | 何でも | nan demo | bất cứ thứ gì | bất cứ thứ gì | used to refer to a thing, no matter what | 任何东西，任何事情 |
| 373 | anyway | ຢ່າງໃດກໍ່ຕາມ | yang dai ko tam | とにかく | tonikaku | dù sao | dù sao | used to confirm or support a point or idea just mentioned | 无论如何，不管怎样 |
| 374 | anywhere | ທຸກບ່ອນ | thuk bon | どこでも | doko demo | bất cứ đâu | bất cứ đâu | in or to any place | 任何地方，无论哪里 |
| 375 | apart | ແຍກ | nyek | 離れて | hanarete | tách biệt | tách biệt | separated by a distance, into pieces | 分开，分离 |
| 376 | apartment | ຫ້ອງ | hong | アパート | apāto | căn hộ | căn hộ | a suite of rooms forming one residence, typically in a building containing a number of these | 公寓，套房 |
| 377 | apt | ເໝາະສົມ | mo som | 適切な | tekisetsu na | phù hợp | phù hợp | appropriate or suitable in the circumstances | 恰当的，合适的 |
| 378 | ape | ລີງ | ling | 類人猿 | ruijin'en | khỉ không đuôi | khỉ không đuôi | a large primate that lacks a tail, including gorillas, chimpanzees, orangutans | 猿，类人猿 |
| 379 | apology | ການຂໍໂທດ | kan kho thot | 謝罪 | shazai | lời xin lỗi | lời xin lỗi | a regretful acknowledgment of an offense or failure | 道歉，歉意 |
| 380 | apologize | ຂໍໂທດ | kho thot | 謝罪する | shazai suru | xin lỗi | xin lỗi | to express regret for something that one has done wrong | 道歉（美式拼写） |
| 381 | apologise | ຂໍໂທດ | kho thot | 謝罪する | shazai suru | xin lỗi | xin lỗi | to express regret for something that one has done wrong | 道歉（英式拼写） |
| 382 | apologetic | ຂໍໂທດ | kho thot | 謝罪の | shazai no | xin lỗi | xin lỗi | expressing or showing regretful acknowledgment of an offense or failure | 道歉的，歉意的 |
| 383 | app | ແອັບ | aep | アプリ | apuri | ứng dụng | ứng dụng | an application, especially as downloaded by a user to a mobile device | 应用程序（application的缩写） |
| 384 | appal | ຕົກໃຈ | tok chai | ぞっとさせる | zotto saseru | kinh hoàng | kinh hoàng | to greatly dismay or horrify | 使惊骇，使震惊（英式拼写） |
| 385 | appall | ຕົກໃຈ | tok chai | ぞっとさせる | zotto saseru | kinh hoàng | kinh hoàng | to greatly dismay or horrify | 使惊骇，使震惊（美式拼写） |
| 386 | appalling | ຕົກໃຈ | tok chai | ぞっとする | zotto suru | kinh hoàng | kinh hoàng | causing shock or dismay, horrific | 令人震惊的，骇人听闻的 |
| 387 | apparatus | ອຸປະກອນ | u pa kon | 装置 | sōchi | thiết bị | thiết bị | the technical equipment or machinery needed for a particular activity or purpose | 设备，装置 |
| 388 | apparent | ຊັດເຈນ | sat chen | 明らかな | akiraka na | rõ ràng | rõ ràng | clearly visible or understood, obvious | 明显的，显然的 |
| 389 | apparently | ຊັດເຈນ | sat chen | 明らかに | akiraka ni | rõ ràng | rõ ràng | as far as one knows or can see, seemingly | 显然，明显地 |
| 390 | appeal | ອຸທອນ | u thon | 訴える | uttaeru | kêu gọi | kêu gọi | to make a serious or urgent request, typically to the public | 呼吁，上诉 |
| 391 | appealing | ດຶງດູດ | dung dut | 魅力的な | miryokuteki na | hấp dẫn | hấp dẫn | attractive or interesting | 吸引人的，有魅力的 |
| 392 | appear | ປາກົດ | pak kot | 現れる | arawareru | xuất hiện | xuất hiện | to come into sight, become visible or noticeable | 出现，显得 |
| 393 | appearance | ການປາກົດ | kan pak kot | 外観 | gaikan | sự xuất hiện | sự xuất hiện | the way that someone or something looks | 外观，出现 |
| 394 | appease | ປອບປົບ | pop pop | なだめる | nadameru | xoa dịu | xoa dịu | to pacify or placate someone by acceding to their demands | 安抚，平息 |
| 395 | appeasement | ການປອບປົບ | kan pop pop | 宥和 | yūwa | sự xoa dịu | sự xoa dịu | the action of appeasing | 安抚，绥靖 |
| 396 | appendix | ພາກທະວີບ | phak thi vip | 付録 | furoku | phụ lục | phụ lục | a section or table of additional matter at the end of a book or document | 附录，阑尾 |
| 397 | appetite | ຄວາມຢາກກິນ | khwam yak kin | 食欲 | shokuyoku | sự thèm ăn | sự thèm ăn | a natural desire to satisfy a bodily need, especially for food | 食欲，胃口 |
| 398 | applaud | ຕົບມື | top meu | 拍手する | hakushu suru | vỗ tay | vỗ tay | to show approval or praise by clapping | 鼓掌，称赞 |
| 399 | applause | ການຕົບມື | kan top meu | 拍手 | hakushu | tiếng vỗ tay | tiếng vỗ tay | approval or praise expressed by clapping | 掌声，喝彩 |
| 400 | apple | ໝາກແອັບເປີ້ນ | mak aep poen | リンゴ | ringo | táo | táo | the round fruit of a tree of the rose family, which typically has thin red or green skin and crisp flesh | 苹果 |
