# Words 1-100

| # | English | Lao | Lao Pronunciation | Japanese | Japanese Pronunciation | Vietnamese | Vietnamese Pronunciation | English Meaning | Chinese Meaning |
| 15 | above | ເທິງ | theng | 上に | ue ni | trên | trên | at a higher level or layer than | 在...之上，超过 |
| 16 | abreast | ຂ້າງຄຽງ | khang khiang | 並んで | naran de | song song | song song | side by side and facing the same way | 并排，并肩 |
| 17 | abroad | ຕ່າງປະເທດ | tang pa thet | 海外で | kaigai de | ở nước ngoài | ở nước ngoài | in or to a foreign country or countries | 在国外，海外 |
| 18 | abrupt | ກະທັນຫັນ | ka than han | 突然の | totsuzen no | đột ngột | đột ngột | sudden and unexpected | 突然的，意外的 |
| 19 | absent | ບໍ່ມີ | bo mi | 不在の | fuzai no | vắng mặt | vắng mặt | not present in a place, at an occasion, or as part of something | 缺席的，不在的 |
| 20 | absence | ການບໍ່ມີ | kan bo mi | 不在 | fuzai | sự vắng mặt | sự vắng mặt | the state of being away from a place or person | 缺席，不在 |
| 21 | absolute | ສົມບູນ | som bun | 絶対的な | zettaiteki na | tuyệt đối | tuyệt đối | not qualified or diminished in any way, total | 绝对的，完全的 |
| 22 | absorb | ດູດຊຶມ | dut sum | 吸収する | kyūshū suru | hấp thụ | hấp thụ | to take in or soak up by chemical or physical action | 吸收，吸取 |
| 23 | abstract | ນາມະທຳ | nam tham | 抽象的な | chūshōteki na | trừu tượng | trừu tượng | existing in thought or as an idea but not having a physical or concrete existence | 抽象的，理论的 |
| 24 | absorption | ການດູດຊຶມ | kan dut sum | 吸収 | kyūshū | sự hấp thụ | sự hấp thụ | the process of taking in or soaking up | 吸收，吸收作用 |
| 25 | absurd | ບໍ່ສົມບູນ | bo som bun | ばかげた | bakageta | vô lý | vô lý | wildly unreasonable, illogical, or inappropriate | 荒谬的，荒唐的 |
| 26 | abundant | ອຸດົມສົມບູນ | udom som bun | 豊富な | hōfu na | dồi dào | dồi dào | existing in large quantities, plentiful | 丰富的，充裕的 |
| 27 | absurdity | ຄວາມບໍ່ສົມບູນ | khwam bo som bun | ばかげたこと | bakageta koto | sự vô lý | sự vô lý | the quality or state of being absurd | 荒谬，荒唐 |
| 28 | abundance | ຄວາມອຸດົມສົມບູນ | khwam udom som bun | 豊富 | hōfu | sự dồi dào | sự dồi dào | a very large quantity of something | 丰富，充裕 |
| 29 | abuse | ການລ່ວງລະເມີດ | kan luang la met | 虐待 | gyakutai | lạm dụng | lạm dụng | to use something to bad effect or for a bad purpose | 滥用，虐待 |
| 30 | abusive | ລ່ວງລະເມີດ | luang la met | 虐待的な | gyakutaiteki na | lạm dụng | lạm dụng | extremely offensive and insulting | 辱骂的，虐待的 |
| 31 | academy | ສະຖາບັນ | sa tha ban | アカデミー | akademī | học viện | học viện | a place of study or training in a special field | 学院，研究院 |
| 32 | accelerate | ເລັ່ງ | leng | 加速する | kasoku suru | tăng tốc | tăng tốc | to increase in rate, amount, or extent | 加速，加快 |
| 33 | academic | ທາງວິຊາການ | thang vi sa kan | 学術的な | gakujutsuteki na | học thuật | học thuật | relating to education and scholarship | 学术的，学院的 |
| 34 | acceleration | ການເລັ່ງ | kan leng | 加速 | kasoku | gia tốc | gia tốc | the rate of change of velocity per unit of time | 加速，加速度 |
| 35 | academician | ນັກວິຊາການ | nak vi sa kan | 学士院会員 | gakushiin kaiin | viện sĩ | viện sĩ | a member of an academy, especially the Royal Academy of Arts | 院士，学会会员 |
| 36 | accent | ສຽງ | siang | アクセント | akusento | dấu nhấn | dấu nhấn | a distinctive way of pronouncing a language | 口音，重音 |
| 37 | accept | ຍອມຮັບ | nyom rap | 受け入れる | ukeireru | chấp nhận | chấp nhận | to consent to receive or undertake something offered | 接受，承认 |
| 38 | access | ການເຂົ້າເຖິງ | kan khao theng | アクセス | akusesu | truy cập | truy cập | the means or opportunity to approach or enter a place | 进入，访问 |
| 39 | acceptance | ການຍອມຮັບ | kan nyom rap | 受諾 | judaku | sự chấp nhận | sự chấp nhận | the action of consenting to receive or undertake something | 接受，承认 |
| 40 | accessible | ເຂົ້າເຖິງໄດ້ | khao theng dai | アクセス可能な | akusesu kanō na | có thể truy cập | có thể truy cập | able to be reached or entered | 可进入的，可访问的 |
| 41 | acceptable | ຍອມຮັບໄດ້ | nyom rap dai | 受け入れられる | ukeirerareru | chấp nhận được | chấp nhận được | able to be agreed on, suitable | 可接受的，合适的 |
| 42 | accessory | ອຸປະກອນ | u pa kon | アクセサリー | akusesarī | phụ kiện | phụ kiện | a thing which can be added to something else to make it more useful or attractive | 附件，配件 |
| 43 | accident | ອຸບັດເຫດ | u bat het | 事故 | jiko | tai nạn | tai nạn | an unfortunate incident that happens unexpectedly | 事故，意外 |
| 44 | accidental | ບັງເອີນ | bang eun | 偶然の | gūzen no | tình cờ | tình cờ | happening by chance or unintentionally | 偶然的，意外的 |
| 45 | acclaim | ສັນລະເສີນ | san la sen | 称賛 | shōsan | ca ngợi | ca ngợi | to praise enthusiastically and publicly | 称赞，赞扬 |
| 46 | accommodate | ຈັດຫາ | chat ha | 収容する | shūyō suru | chỗ ở | chỗ ở | to provide lodging or sufficient space for | 容纳，提供住宿 |
| 47 | accommodation | ທີ່ພັກ | thi phak | 宿泊施設 | shukuhaku shisetsu | chỗ ở | chỗ ở | a room, group of rooms, or building in which someone may live or stay | 住宿，住所 |
| 48 | accompany | ຕາມ | tam | 同行する | dōkō suru | đi cùng | đi cùng | to go somewhere with someone as a companion | 陪伴，伴随 |
| 49 | accomplish | ສຳເລັດ | sam let | 達成する | tassei suru | hoàn thành | hoàn thành | to achieve or complete successfully | 完成，实现 |
| 50 | accord | ຕົກລົງ | tok long | 一致 | itchi | thỏa thuận | thỏa thuận | an official agreement or treaty | 协议，一致 |
| 51 | accomplishment | ການສຳເລັດ | kan sam let | 達成 | tassei | thành tựu | thành tựu | something that has been achieved successfully | 成就，完成 |
| 52 | accordance | ຕາມ | tam | 一致 | itchi | theo | theo | in agreement or harmony with | 一致，符合 |
| 53 | according to | ຕາມ | tam | によると | ni yoru to | theo | theo | as stated by or in | 根据，按照 |
| 54 | accordingly | ຕາມນັ້ນ | tam nan | それに応じて | sore ni ōjite | theo đó | theo đó | in a way that is appropriate to the particular circumstances | 因此，相应地 |
| 55 | account | ບັນຊີ | ban si | 口座 | kōza | tài khoản | tài khoản | a record of financial expenditure and receipts | 账户，账目 |
| 56 | accounting | ການບັນຊີ | kan ban si | 会計 | kaikei | kế toán | kế toán | the process of keeping financial accounts | 会计，记账 |
| 57 | accountant | ນັກບັນຊີ | nak ban si | 会計士 | kaikeishi | kế toán viên | kế toán viên | a person whose job is to keep or inspect financial accounts | 会计师 |
| 58 | accountancy | ວິຊາການບັນຊີ | vi sa kan ban si | 会計学 | kaikeigaku | kế toán học | kế toán học | the profession or duties of an accountant | 会计学，会计职业 |
| 59 | accountable | ຮັບຜິດຊອບ | rap phit sop | 責任がある | sekinin ga aru | chịu trách nhiệm | chịu trách nhiệm | required or expected to justify actions or decisions | 有责任的，应负责的 |
| 60 | accumulate | ສະສົມ | sa som | 蓄積する | chikuseki suru | tích lũy | tích lũy | to gather together or acquire an increasing number or quantity of | 积累，累积 |
| 61 | accountability | ຄວາມຮັບຜິດຊອບ | khwam rap phit sop | 説明責任 | setsumei sekinin | trách nhiệm giải trình | trách nhiệm giải trình | the fact or condition of being accountable | 责任，问责 |
| 62 | accumulation | ການສະສົມ | kan sa som | 蓄積 | chikuseki | sự tích lũy | sự tích lũy | the acquisition or gradual gathering of something | 积累，累积 |
| 63 | accumulative | ສະສົມ | sa som | 累積的な | ruisekiteki na | tích lũy | tích lũy | gathering or growing by gradual increases | 累积的，积累的 |
| 64 | accurate | ຖືກຕ້ອງ | thuok tong | 正確な | seikaku na | chính xác | chính xác | correct in all details, exact | 准确的，精确的 |
| 65 | accuse | ກ່າວຫາ | kao ha | 非難する | hinan suru | buộc tội | buộc tội | to charge someone with an offense or crime | 指控，控告 |
| 66 | accuracy | ຄວາມຖືກຕ້ອງ | khwam thuok tong | 正確さ | seikasusa | độ chính xác | độ chính xác | the quality or state of being correct or precise | 准确性，精确度 |
| 67 | accusation | ການກ່າວຫາ | kan kao ha | 非難 | hinan | lời buộc tội | lời buộc tội | a charge or claim that someone has done something illegal or wrong | 指控，控告 |
| 68 | accustom | ເຮັດໃຫ້ຄຸ້ນເຄີຍ | het hai khun kheuy | 慣れさせる | nare saseru | làm quen | làm quen | to make someone or something accept something as normal or usual | 使习惯，使适应 |
| 69 | accustomed | ຄຸ້ນເຄີຍ | khun kheuy | 慣れた | nareta | quen thuộc | quen thuộc | customary, usual | 习惯的，通常的 |
| 70 | ace | ເອດ | et | エース | ēsu | át | át | a playing card with a single spot on it, ranked as the highest card | A牌，王牌 |
| 71 | ache | ເຈັບ | chep | 痛み | itami | đau | đau | a continuous dull pain | 疼痛，酸痛 |
| 72 | achieve | ບັນລຸ | ban lu | 達成する | tassei suru | đạt được | đạt được | to successfully bring about or reach a desired objective or result | 达到，实现 |
| 73 | achievement | ການບັນລຸ | kan ban lu | 達成 | tassei | thành tựu | thành tựu | a thing done successfully with effort, skill, or courage | 成就，成绩 |
| 74 | acid | ກົດ | kot | 酸 | san | axit | axit | a chemical substance that neutralizes alkalis, dissolves some metals | 酸，酸性物质 |
| 75 | acidity | ຄວາມເປັນກົດ | khwam pen kot | 酸性 | sansei | độ axit | độ axit | the level of acid in substances such as water, soil, or wine | 酸度，酸性 |
| 76 | acknowledge | ຍອມຮັບ | nyom rap | 認める | mitomeru | thừa nhận | thừa nhận | to accept or admit the existence or truth of | 承认，确认 |
| 77 | acknowledgement | ການຍອມຮັບ | kan nyom rap | 承認 | shōnin | sự thừa nhận | sự thừa nhận | acceptance of the truth or existence of something | 承认，确认 |
| 78 | acquaint | ເຮັດໃຫ້ຮູ້ຈັກ | het hai hu chak | 知らせる | shiraseru | làm quen | làm quen | to make someone aware of or familiar with | 使熟悉，使了解 |
| 79 | acquaintance | ຄົນຮູ້ຈັກ | khon hu chak | 知人 | chijin | người quen | người quen | a person one knows slightly, but who is not a close friend | 熟人，相识 |
| 80 | acquire | ໄດ້ຮັບ | dai rap | 獲得する | kakutoku suru | có được | có được | to buy or obtain an asset or object for oneself | 获得，取得 |
| 81 | acquisition | ການໄດ້ຮັບ | kan dai rap | 獲得 | kakutoku | sự có được | sự có được | an asset or object bought or obtained | 获得，收购 |
| 82 | acre | ເອເກີ | e ke | エーカー | ēkā | mẫu Anh | mẫu Anh | a unit of land area equal to 4,840 square yards | 英亩 |
| 83 | across | ຂ້າມ | kham | 横切って | yokogitte | qua | qua | from one side to the other of | 横过，穿过 |
| 84 | act | ກິດຈະກຳ | kit cha kam | 行動する | kōdō suru | hành động | hành động | to take action, do something | 行动，表演 |
| 85 | action | ການກະທຳ | kan ka tham | 行動 | kōdō | hành động | hành động | the fact or process of doing something | 行动，行为 |
| 86 | acting | ການສະແດງ | kan sa daeng | 演技 | engi | diễn xuất | diễn xuất | the art or occupation of performing in plays, movies, or television productions | 表演，演技 |
| 87 | activate | ເປີດໃຊ້ | poet sai | 活性化する | kasseika suru | kích hoạt | kích hoạt | to make something active or operative | 激活，启动 |
| 88 | active | ມີກິດຈະກຳ | mi kit cha kam | 活動的な | katsudōteki na | tích cực | tích cực | engaging or ready to engage in physically energetic pursuits | 活跃的，积极的 |
| 89 | activity | ກິດຈະກຳ | kit cha kam | 活動 | katsudō | hoạt động | hoạt động | the condition in which things are happening or being done | 活动，行动 |
| 90 | activist | ນັກກິດຈະກຳ | nak kit cha kam | 活動家 | katsudōka | nhà hoạt động | nhà hoạt động | a person who campaigns to bring about political or social change | 活动家，积极分子 |
| 91 | actor | ນັກສະແດງ | nak sa daeng | 俳優 | haiyū | diễn viên | diễn viên | a person whose profession is acting on the stage, in movies, or on television | 演员 |
| 92 | actress | ນັກສະແດງຍິງ | nak sa daeng nying | 女優 | joyū | nữ diễn viên | nữ diễn viên | a female actor | 女演员 |
| 93 | actual | ຈິງ | ching | 実際の | jissai no | thực tế | thực tế | existing in fact, real | 实际的，真实的 |
| 94 | actually | ຕົວຈິງ | tua ching | 実際に | jissai ni | thực ra | thực ra | as the truth or facts of a situation, really | 实际上，事实上 |
| 95 | acupuncture | ການປີ້ນເຂັມ | kan pin khem | 鍼治療 | hari chiryō | châm cứu | châm cứu | a system of complementary medicine in which fine needles are inserted in the skin | 针灸，针刺疗法 |
| 96 | acute | ແຫຼມ | laem | 鋭い | surudoi | cấp tính | cấp tính | present or experienced to a severe or intense degree | 急性的，尖锐的 |
| 97 | adapt | ປັບຕົວ | pap tua | 適応する | tekiō suru | thích ứng | thích ứng | to make something suitable for a new use or purpose | 适应，调整 |
| 98 | adaptation | ການປັບຕົວ | kan pap tua | 適応 | tekiō | sự thích ứng | sự thích ứng | the action or process of adapting or being adapted | 适应，改编 |
| 99 | adaptive | ປັບຕົວ | pap tua | 適応的な | tekiōteki na | thích ứng | thích ứng | having an ability to change to suit different conditions | 适应的，有适应能力的 |
| 100 | add | ເພີ່ມ | phoem | 加える | kuwaeru | thêm | thêm | to join something to something else so as to increase the size, number, or amount | 添加，增加 |
